"","% of variance","cumulative %"
"PC1",0.2058313245829,0.2058313245829
"PC2",0.173283096776028,0.379114421358928
"PC3",0.135919618657508,0.515034040016436
"PC4",0.115686875190833,0.63072091520727
"PC5",0.0796027310062473,0.710323646213517
"PC6",0.0405487135167543,0.750872359730271
"PC7",0.0303639319409179,0.781236291671189
"PC8",0.0262397178601436,0.807476009531333
"PC9",0.0224222617144191,0.829898271245752
"PC10",0.0176484970069166,0.847546768252668
"PC11",0.0151917328914675,0.862738501144136
"PC12",0.0149284363747078,0.877666937518844
"PC13",0.0148364177501003,0.892503355268944
"PC14",0.0123170509483766,0.904820406217321
"PC15",0.0102164197935213,0.915036826010842
"PC16",0.00998515746666805,0.92502198347751
"PC17",0.00736013886665433,0.932382122344164
"PC18",0.00614248016741306,0.938524602511577
"PC19",0.00584155125338617,0.944366153764963
"PC20",0.00567425804692615,0.95004041181189
"PC21",0.00547743656727747,0.955517848379167
"PC22",0.00519961921231353,0.960717467591481
"PC23",0.00463144078673939,0.96534890837822
"PC24",0.00406157127248481,0.969410479650705
"PC25",0.00356732748993382,0.972977807140639
"PC26",0.00315784890540009,0.976135656046039
"PC27",0.00269189960364022,0.978827555649679
"PC28",0.00242648001054431,0.981254035660223
"PC29",0.00235975468648698,0.98361379034671
"PC30",0.00220592088595516,0.985819711232665
"PC31",0.00158733001776753,0.987407041250433
"PC32",0.00142022718566601,0.988827268436099
"PC33",0.00138641265788938,0.990213681093988
"PC34",0.00109329103676093,0.991306972130749
"PC35",0.000897687567265938,0.992204659698015
"PC36",0.000820483865300437,0.993025143563316
"PC37",0.000761529490031706,0.993786673053347
"PC38",0.000684796244250598,0.994471469297598
"PC39",0.000638984329042107,0.99511045362664
"PC40",0.000605815337644268,0.995716268964284
"PC41",0.000506619371841629,0.996222888336126
"PC42",0.000474439628115172,0.996697327964241
"PC43",0.000452342899808346,0.997149670864049
"PC44",0.000406724097072113,0.997556394961122
"PC45",0.000389411196627932,0.99794580615775
"PC46",0.000318960509747546,0.998264766667497
"PC47",0.000271313283071861,0.998536079950569
"PC48",0.000227647966508562,0.998763727917077
"PC49",0.000164144746751632,0.998927872663829
"PC50",0.000162149362740503,0.99909002202657
"PC51",0.000146467281148547,0.999236489307718
"PC52",0.000127190519596976,0.999363679827315
"PC53",0.000118394643981577,0.999482074471297
"PC54",0.000102402636793774,0.999584477108091
"PC55",8.76385816510233e-05,0.999672115689741
"PC56",7.76596264783301e-05,0.99974977531622
"PC57",5.30204756693809e-05,0.999802795791889
"PC58",4.57934042692038e-05,0.999848589196158
"PC59",3.81068595579748e-05,0.999886696055716
"PC60",3.22592310959082e-05,0.999918955286812
"PC61",2.38390903821903e-05,0.999942794377194
"PC62",2.09355766797932e-05,0.999963729953874
"PC63",1.63668229282509e-05,0.999980096776803
"PC64",7.12568187505242e-06,0.999987222458678
"PC65",6.71397452641215e-06,0.999993936433204
"PC66",4.09412644565946e-06,0.99999803055965
"PC67",1.96944035034047e-06,1
